division_number,date_reported,date_occurred,area,area_name,reporting_district,part,crime_code,crime_description,modus_operandi,victim_age,victim_sex,victim_descent,premise_code,premise_description,weapon_code,weapon_description,status,status_description,crime_code_1,crime_code_2,crime_code_3,crime_code_4,location,cross_street,latitude,longitude,case_number
231820331,04-12-2023,04-12-2023 03:00,18,Southeast,1832,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1814 2000 0416,0,,,726,POLICE FACILITY,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,236,,,,100 W  108TH                        ST,,33.9401,-118.2761,568
232117186,02-12-2023,01-12-2023 18:00,21,Topanga,2158,1,310,BURGLARY,397,0,M,W,701,HOSPITAL,,,IC,Invest Cont,310,,,,21200    ERWIN                        ST,,34.1829,-118.5943,569
230916945,01-12-2023,23-11-2023 19:00,9,Van Nuys,923,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,14500    VICTORY                      BL,,34.1903,-118.4574,570
232018692,03-12-2023,03-12-2023 13:30,20,Olympic,2017,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  BERENDO                      ST,,34.0727,-118.2942,571
231421161,03-12-2023,02-12-2023 22:30,14,Pacific,1434,1,330,BURGLARY FROM VEHICLE,344,23,M,H,101,STREET,,,IC,Invest Cont,330,,,,12400    MCCUNE                       AV,,34.0052,-118.4347,572
231614655,04-12-2023,03-12-2023 22:15,16,Foothill,1623,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 1419 1100 1401 1410 1407 0450,43,M,H,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,230,998,,,13100    HOYT                         ST,,34.2674,-118.4184,573
231518354,01-12-2023,22-11-2023 18:42,15,N Hollywood,1563,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,50,F,O,507,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,440,,,,11600    WOODBRIDGE                   ST,,34.1486,-118.3856,574
230221940,02-12-2023,02-12-2023 02:10,2,Rampart,245,2,624,BATTERY - SIMPLE ASSAULT,0603 0416 0446 0400,31,M,H,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,2200 W  6TH                          ST,,34.0601,-118.2761,575
231421114,01-12-2023,26-11-2023 21:30,14,Pacific,1487,1,330,BURGLARY FROM VEHICLE,0344 1300,44,M,B,101,STREET,,,IC,Invest Cont,330,,,,6100 W  MANCHESTER                   AV,,33.9598,-118.3915,576
230222078,04-12-2023,03-12-2023 17:00,2,Rampart,205,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1822 0385,35,F,W,122,"VEHICLE, PASSENGER/TRUCK",500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,331,,,,3200    DESCANSO                     DR,,34.0853,-118.2753,577
230618578,03-12-2023,03-12-2023 23:50,6,Hollywood,657,2,624,BATTERY - SIMPLE ASSAULT,1822 0400 0416,0,,,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,SANTA MONICA,VAN NESS,34.0907,-118.3157,578
231718557,02-12-2023,02-12-2023 05:00,17,Devonshire,1717,1,110,CRIMINAL HOMICIDE,0430 1822 1501 1100 1419 1407 1402,0,M,H,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,110,998,,,11400    SWINTON                      AV,,34.2777,-118.4865,579
232117204,02-12-2023,02-12-2023 07:00,21,Topanga,2157,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 0408 0400,27,M,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,6600    VARIEL                       AV,,34.1892,-118.5928,580
230618559,04-12-2023,04-12-2023 07:30,6,Hollywood,668,2,756,WEAPONS POSSESSION/BOMBING,1822 0400 0416 0403 2180,57,F,H,102,SIDEWALK,501,BOMB THREAT,IC,Invest Cont,756,,,,ST ANDREWS,DE LONGPRE,34.0968,-118.311,581
231718676,04-12-2023,25-11-2023 16:30,17,Devonshire,1764,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402,0,,,404,DEPARTMENT STORE,,,IC,Invest Cont,740,998,,,9300    TAMPA                        AV,,34.244,-118.5583,582
